"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH"
"h092",151.3082836,-32.82156218,0.79,2,6,23,9.45
"h093",151.3081973,-32.82104693,0.16,2,6,40,9.21
"h093",151.3081973,-32.82104693,0.36,2,6,15,9.4
"h093",151.3081973,-32.82104693,0.61,2,6,21,9.65
"h093",151.3081973,-32.82104693,0.9,2,6,21,9.6
"h094",151.30803,-32.82085527,0.08,2,6,40,9.14
"h094",151.30803,-32.82085527,0.2,2,6,34,9.38
"h094",151.30803,-32.82085527,0.31,2,6,34,9.23
"h094",151.30803,-32.82085527,0.53,2,6,10,9.34
"h094",151.30803,-32.82085527,0.84,2,6,24,9.4
"h095",151.3077701,-32.82048197,0.09,2,6,49,7.06
"h095",151.3077701,-32.82048197,0.39,2,6,49,7.34
"h095",151.3077701,-32.82048197,0.79,2,6,57,7.53
"h096",151.3070495,-32.8207428,0.06,2,6,49,7.37
"h096",151.3070495,-32.8207428,0.25,2,6,49,7.97
"h096",151.3070495,-32.8207428,0.53,2,6,40,8.18
"h096",151.3070495,-32.8207428,0.84,2,6,57,8.16
"h097",151.3069405,-32.82029037,0.11,2,6,40,8.08
"h097",151.3069405,-32.82029037,0.43,2,6,49,8.11
"h097",151.3069405,-32.82029037,0.82,2,6,57,8.37
"h098",151.3055506,-32.82036175,0.1,2,6,10,6.45
"h098",151.3055506,-32.82036175,0.28,2,6,21,7.21
"h098",151.3055506,-32.82036175,0.52,2,6,57,7.75
"h098",151.3055506,-32.82036175,0.84,2,6,57,7.85
"h106",151.307644,-32.82318597,0.1,2,6,49,6.65
"h106",151.307644,-32.82318597,0.29,2,6,49,7.25
"h106",151.307644,-32.82318597,0.61,2,6,23,8.63
"h107",151.3082404,-32.82271603,0.12,2,6,32,7.96
"h107",151.3082404,-32.82271603,0.38,2,6,32,7.9
"h107",151.3082404,-32.82271603,0.64,2,6,45,7.78
"h107",151.3082404,-32.82271603,0.83,2,6,32,8.5
"h107",151.3082404,-32.82271603,0.95,2,6,49,8.14
