"SiteID","Easting","Northing","Depth","Stratify","Transect","RockFrag","pH_H2O","EC","OC","P_Olsen","PBI","Exch_Ca","Exch_Mg","Exch_K","Exch_Na","Exch_Acid","Exch_Sum","ECEC","BaseSat","ESP","Ca_Mg","ECEC_Clay","Sand","Silt","Clay"
1023,775793,2283720,5,1,1020,5,8.29,0.165,0.59,NA,119,14.14,NA,NA,NA,NA,21.63,21.7,100,2.85,3.2,2.75,58.3,30.2,11.5
1023,775793,2283720,15,1,1020,NA,8.44,0.163,0.29,NA,150,11.98,NA,NA,NA,NA,22.28,22.27,100,3.46,0.9,2.81,54.3,30.5,15.2
1023,775793,2283720,25,1,1020,100,8.63,0.136,0.06,NA,90,10.67,NA,NA,NA,NA,23.07,22.94,100,3.44,1.4,NA,68.7,21.1,10.3
1023,775793,2283720,40,1,1020,100,8.78,0.148,0.65,NA,NA,7.9,NA,NA,NA,NA,17.94,17.6,100,4.36,NA,2.22,63.1,21.4,15.5
1023,775793,2283720,60,1,1020,100,8.82,0.147,NA,NA,100,10.74,NA,NA,NA,NA,23.87,23.52,100,4.47,0.8,NA,68,21,11.1
1023,775793,2283720,80,1,1020,100,8.83,0.175,NA,NA,131,8.54,NA,NA,NA,NA,23.53,23.02,100,5.62,NA,NA,73.6,19,7.5
1025,791745,2278154,5,2,1025,30,8.37,0.174,0.54,NA,83,10.24,NA,NA,NA,NA,10.66,11.16,100,3.37,5.6,0.85,51.7,36.5,11.7
1025,791745,2278154,15,2,1025,35,8.4,0.171,0.45,NA,151,12.21,NA,NA,NA,NA,11.73,11.87,100,3.46,4.2,0.95,54.5,38,7.5
1025,791745,2278154,25,2,1025,0,8.37,0.173,0.35,NA,157,9.67,NA,NA,NA,NA,10.56,10.82,100,3.36,3.8,1.05,51.8,39.2,9
1025,791745,2278154,40,2,1025,0,8.69,0.159,0.13,NA,130,6.02,NA,NA,NA,NA,9.69,10.02,100,4.41,NA,1.27,54,43.5,2.6
1025,791745,2278154,60,2,1025,0,8.69,0.171,0.11,NA,132,4.73,NA,NA,NA,NA,11.62,11.98,100,4.81,0.7,1.41,58.6,40.1,1.3
1025,791745,2278154,NA,2,1025,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1026,791740,2278155,5,2,1025,10,8.27,0.179,0.62,NA,80,10.8,NA,NA,NA,NA,11.16,11.52,100,2.97,5.7,0.7,49.6,37,13.4
1026,791740,2278155,15,2,1025,30,8.27,0.171,0.61,NA,87,11.59,NA,NA,NA,NA,11.66,11.8,100,2.85,6.7,0.74,48.3,39.2,12.5
1026,791740,2278155,25,2,1025,50,8.29,0.178,0.64,NA,87,15.6,NA,NA,NA,NA,13.12,13.39,100,3.05,7.7,0.85,49.6,39.9,10.5
1026,791740,2278155,40,2,1025,80,8.48,0.178,0.36,NA,132,7.2,NA,NA,NA,NA,11.83,12.1,100,4,3.8,0.89,48.1,40.4,11.5
